,상품 제목,포스터 URL,상세 포스터 URL,공연장소,캐스팅 리스트,해당 링크,시작일,종료일,종료일_date
46,2024 김창옥 토크콘서트 시즌4 - 서울,https://image.toast.com/aaaaab/ticketlink/TKL_6/kco_0401.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_10/kco_info_0401.jpg,연세대학교 대강당,김창옥,https://www.ticketlink.co.kr/product/49482,2024.07.07,2024.07.07,2024-07-07
47,김오키 새턴발라드 <러브 인 새턴> _싱크넥스트24,https://image.toast.com/aaaaab/ticketlink/TKL_8/love_pst0516.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_1/SN24_lovein_info_0627.jpg,세종문화회관 S씨어터,상세페이지 참고,https://www.ticketlink.co.kr/product/49949,2024.07.05,2024.07.06,2024-07-06
48,2024 변진섭 전국투어 콘서트 : 변천사 - 인천,https://image.toast.com/aaaaab/ticketlink/TKL_3/inc_main_0522.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_7/inc_info_0522.jpg,부평아트센터 해누리극장,변진섭,https://www.ticketlink.co.kr/product/50231,2024.07.20,2024.07.20,2024-07-20
49,2024 변진섭 전국투어 콘서트 : 변천사 - 평택,https://image.toast.com/aaaaab/ticketlink/TKL_9/b_main_0610.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_9/b_748_info0611.jpg,평택서부문화예술회관 대공연장,변진섭,https://www.ticketlink.co.kr/product/50534,2024.07.27,2024.07.27,2024-07-27
50,이은결 연출 ‘멜리에스 일루션’,https://image.toast.com/aaaaab/ticketlink/TKL_4/PST.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_4/INFO1.jpg,LG아트센터 서울 U+ 스테이지,이은결,https://www.ticketlink.co.kr/product/47831,2024.11.09,2024.11.17,2024-11-17
51,유라 <꽤 많은 수의 촉수 돌기> _싱크넥스트24,https://image.toast.com/aaaaab/ticketlink/TKL_5/y_pst0516.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_6/y_info0516.jpg,세종문화회관 S씨어터,상세페이지 참고,https://www.ticketlink.co.kr/product/50051,2024.08.09,2024.08.10,2024-08-10
52,메타코미디 <코미디 어셈블: 만담> _싱크넥스트24,https://image.toast.com/aaaaab/ticketlink/TKL_2/main0613.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_7/SN24_m_info_0611.jpg,세종문화회관 S씨어터,상세페이지 참고,https://www.ticketlink.co.kr/product/50076,2024.08.15,2024.08.15,2024-08-15
53,메타코미디 <코미디 어셈블: 스탠드업> _싱크넥스트24,https://image.toast.com/aaaaab/ticketlink/TKL_10/main0613.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_6/SN24_s_info_0611.jpg,세종문화회관 S씨어터,상세페이지 참고,https://www.ticketlink.co.kr/product/50077,2024.08.16,2024.08.17,2024-08-17
55,BUDX WORLD TOUR Pre-party,https://image.toast.com/aaaaab/ticketlink/TKL_2/BUDX_pst_0611.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_2/BUDX_info_0611.jpg,Paper&Shelter,,https://www.ticketlink.co.kr/product/50334,2024.06.22,2024.08.10,2024-08-10
60,박파랑의 '클래식 서양 미술사' - 경주 (특별 추가강의),https://image.toast.com/aaaaab/ticketlink/TKL_1/TicketlinkOpen(119).png,https://i.namu.wiki/i/GFw2SMaGiqbS3yeTWO08FD5Df8LKk-xB2ckQ0MtDjdoryMCJtsDap9msW17NVgbTM4432kao4DkEGsgwhs_In0zw9vMOldvNbYoc-n1Ng4XgxBVZXNZz33WScPw6zCJY5XAVrdsAFGDx24HN_nu3oQ.webp,경주예술의전당 대회의실,,https://www.ticketlink.co.kr/product/50482,2024.07.04,2024.07.25,2024-07-25
61,하모나이즈 콘서트 School of Choir - 울산,https://image.toast.com/aaaaab/ticketlink/TKL_3/main0610(2).jpg,http://image.toast.com/aaaaab/ticketlink/TKL_5/main0610(2).jpg,울산학생교육문화회관 소원홀,,https://www.ticketlink.co.kr/product/50538,2024.07.06,2024.07.07,2024-07-07
62,성악가와 어린이가 함께 만드는 키즈콘서트,https://image.toast.com/aaaaab/ticketlink/TKL_1/kids_info06201327.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_5/kids_info06201327.jpg,동탄복합문화센터 반석아트홀,상세정보 참고,https://www.ticketlink.co.kr/product/50620,2024.07.06,2024.07.06,2024-07-06
63,광주상설공연 7월,https://image.toast.com/aaaaab/ticketlink/TKL_5/tl_image(19).png,https://i.namu.wiki/i/GFw2SMaGiqbS3yeTWO08FD5Df8LKk-xB2ckQ0MtDjdoryMCJtsDap9msW17NVgbTM4432kao4DkEGsgwhs_In0zw9vMOldvNbYoc-n1Ng4XgxBVZXNZz33WScPw6zCJY5XAVrdsAFGDx24HN_nu3oQ.webp,광주공연마루,,https://www.ticketlink.co.kr/product/50645,2024.07.06,2024.07.28,2024-07-28
64,아트캠프 「패밀리 펀펀데이」,https://image.toast.com/aaaaab/ticketlink/TKL_10/funfun_pst0621.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_4/funfun_pst0621.jpg,서구문화회관 야외공연장,,https://www.ticketlink.co.kr/product/50708,2024.07.06,2024.07.06,2024-07-06
65,2024 김창완밴드 전국투어 <개구쟁이> - 부산,https://image.toast.com/aaaaab/ticketlink/TKL_6/pst_0401.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_3/info_0401.jpg,부산문화회관 대극장,김창완,https://www.ticketlink.co.kr/product/49456,2024.07.07,2024.07.07,2024-07-07
66,경산시민과 함께하는 오은영 박사의 슬기로운 육아 토크 콘서트,https://image.toast.com/aaaaab/ticketlink/TKL_1/oh-pst0617.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_1/oh-pst0617(1).jpg,영남대학교 천마아트센터 그랜드홀,,https://www.ticketlink.co.kr/product/50624,2024.07.08,2024.07.08,2024-07-08
67,버라이어티 동춘 서커스 쇼-김제,https://image.toast.com/aaaaab/ticketlink/TKL_2/cir_main_0625.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_10/cir_main_0621.jpg,김제문화예술회관 대공연장,-,https://www.ticketlink.co.kr/product/50716,2024.07.12,2024.07.12,2024-07-12
68,김경호 데뷔 30주년 전국투어 콘서트:THE ROCKER-창원,https://image.toast.com/aaaaab/ticketlink/TKL_10/kkh_pst_0510.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_3/kkh_pst_0510.jpg,KBS창원홀,김경호,https://www.ticketlink.co.kr/product/50081,2024.07.13,2024.07.13,2024-07-13
69,"2024 빅3 “행복한만남” <강진, 김용임, 진성> - 광주",https://image.toast.com/aaaaab/ticketlink/TKL_3/GJ0528.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_9/3_gj_info_0528.jpg,광주예술의전당 대극장,"강진, 김용임, 진성",https://www.ticketlink.co.kr/product/50303,2024.07.13,2024.07.13,2024-07-13
70,서빛마루문예회관 기획공연 #6 ‘IN THE MOVICAL’,https://image.toast.com/aaaaab/ticketlink/TKL_9/6_main_0613.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_6/movi_main_0617.jpg,서빛마루문화예술회관,뮤지컬단 다락,https://www.ticketlink.co.kr/product/50607,2024.07.13,2024.07.13,2024-07-13
71,"[대구] 2024 목소리 높여, 그분께 PAX 찬양콘서트 “NEW WORSHIP”",https://image.toast.com/aaaaab/ticketlink/TKL_10/nw_pst0619.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_8/nw_pst2_0619.jpg,범어대성당 드망즈홀,,https://www.ticketlink.co.kr/product/50667,2024.07.13,2024.07.14,2024-07-14
72,윤수일밴드 라이브 콘서트,https://image.toast.com/aaaaab/ticketlink/TKL_10/main0620(2).jpg,http://image.toast.com/aaaaab/ticketlink/TKL_3/main0620(1).jpg,포천반월아트홀,윤수일밴드,https://www.ticketlink.co.kr/product/49909,2024.07.14,2024.07.14,2024-07-14
73,라떼 노래방,https://image.toast.com/aaaaab/ticketlink/TKL_5/latte_pst0626.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_5/latte_info0626.jpg,메종 글래드 제주 컨벤션홀,"부활, 플라워, izi, 이정봉, Bigdaddy",https://www.ticketlink.co.kr/product/50233,2024.07.14,2024.07.14,2024-07-14
74,I.CON : 팬앤스타 콘서트 ( ONEPACT ),https://image.toast.com/aaaaab/ticketlink/TKL_6/op_pst_0625.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_7/kr_icon2_info_0626.jpg,스카이아트홀,원팩트,https://www.ticketlink.co.kr/product/50750,2024.07.14,2024.07.14,2024-07-14
75,「Love Live! Overseas Events in Seoul」,https://image.toast.com/aaaaab/ticketlink/TKL_5/lovelive_pst_0430.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_10/web0507(1).jpg,CTS 아트홀,"Pile, 닛타에미",https://www.ticketlink.co.kr/product/49929,2024.07.19,2024.07.20,2024-07-20
76,[대구] 인디神페스티벌 _라쿠나(Lacuna),https://image.toast.com/aaaaab/ticketlink/TKL_7/indi_pst_0621_1453.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_10/la_info_0624.jpg,어울아트센터 함지홀,라쿠나,https://www.ticketlink.co.kr/product/50701,2024.07.19,2024.07.19,2024-07-19
77,2024 심수봉 전국투어 콘서트 : 꽃길 - 원주,https://image.toast.com/aaaaab/ticketlink/TKL_10/s_0507.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_9/s_info_0507.jpg,원주종합체육관,심수봉,https://www.ticketlink.co.kr/product/50028,2024.07.20,2024.07.20,2024-07-20
78,< EUNOIA > 크로스오버 콘서트 in 퀸 - 대구,https://image.toast.com/aaaaab/ticketlink/TKL_10/main0522(1).jpg,http://image.toast.com/aaaaab/ticketlink/TKL_2/web0523(1).jpg,천마아트센터 그랜드홀,상세페이지 참고,https://www.ticketlink.co.kr/product/50255,2024.07.20,2024.07.20,2024-07-20
79,"2024 빅3 “행복한만남” <강진, 김용임, 진성> - 전주",https://image.toast.com/aaaaab/ticketlink/TKL_1/JJ0528.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_9/3_jj_info_0528.jpg,한국소리문화의전당 모악당,"강진, 김용임, 진성",https://www.ticketlink.co.kr/product/50301,2024.07.20,2024.07.20,2024-07-20
80,[대구] 퓨전 국악 밴드<팔방미>-온고지신,https://image.toast.com/aaaaab/ticketlink/TKL_7/8_pst0611.jpg,http://image.toast.com/aaaaab/ticketlink/TKL_6/8_pst0611.jpg,소담아트홀,,https://www.ticketlink.co.kr/product/50560,2024.07.20,2024.07.20,2024-07-20
