,상품 제목,포스터 URL,상세 포스터 URL,공연장소,캐스팅 리스트,해당 링크,시작일,종료일,종료일_date
45,찬민（CHANMIN）EP 발매기념 콘서트 ‘CINEMA’,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/2024060714280079bb6d77-b581-4d76-a087-0e9ad35147fd.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406071500257090f9e0-a8d5-44a6-a16c-353b5a47d624.jpg/melon/quality/90/optimize,살롱문보우,찬민 (CHANMIN),https://ticket.melon.com/performance/index.htm?prodId=209985,2024.07.06,2024.07.06,2024-07-06
46,모스크바서핑클럽 X ddbb 콘서트：Ghost ＆ Zombie,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/05/202405311051433a65e5f4-c2fa-4df9-bf31-1c28bd1987d6.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/05/20240531112125a3427993-f75f-42bb-9434-b61a8c620644.jpg/melon/quality/90/optimize,롤링홀,"모스크바서핑클럽, ddbb",https://ticket.melon.com/performance/index.htm?prodId=209964,2024.07.11,2024.07.11,2024-07-11
47,크리스토퍼 내한공연,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/04/202404082031476ba00c34-68d9-4724-b95d-b6bab115314e.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/04/20240412175006759bb703-7f83-4e79-8833-4cde7ace49b9.png/melon/quality/90/optimize,잠실실내체육관,Christopher,https://ticket.melon.com/performance/index.htm?prodId=209726,2024.08.24,2024.08.25,2024-08-25
49,버둥 뮤직트립：trip over music in Busan,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406201141434de67e93-a49a-4976-a8d3-759e95621a21.png/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/2024062011420068f72bac-3ada-4094-9684-1dba9413b472.png/melon/quality/90/optimize,KT&G 상상마당 부산?라이브홀,버둥,https://ticket.melon.com/performance/index.htm?prodId=210001,2024.07.20,2024.07.20,2024-07-20
50,미나 오카베 내한공연 MINA OKABE LIVE IN SEOUL,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/05/20240521185255e35e16a2-9c26-4097-8c5c-fd30f2c34e24.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/05/20240521193528e542c621-9e22-4238-9d73-57afc62397f8.jpg/melon/quality/90/optimize,무신사 개러지,Mina Okabe,https://ticket.melon.com/performance/index.htm?prodId=209894,2024.08.22,2024.08.22,2024-08-22
51,악퉁 X 더베인 조인트콘서트,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/05/20240513160525dfcd2f66-916b-464a-ad6c-56516c08e7fb.png/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/05/20240513160639885801ca-7071-4717-aa57-4daaa1d71f66.png/melon/quality/90/optimize,웨스트브릿지,"악퉁, 더베인 (THE VANE), 추승엽, 채보훈 (THE VANE), 강성희",https://ticket.melon.com/performance/index.htm?prodId=209845,2024.08.18,2024.08.18,2024-08-18
53,피에타 단독 공연 ‘독백의 단어’,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/05/2024053015253006c80a7b-a1e8-4f47-ace4-87110ee00dcc.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/05/20240530153402324b3c2c-dc9e-4af9-95f1-cebd030ce4b5.png/melon/quality/90/optimize,KT&G 상상마당 홍대 라이브홀,PIETA (피에타),https://ticket.melon.com/performance/index.htm?prodId=209955,2024.07.06,2024.07.06,2024-07-06
54,2024 타임캡슐 슈퍼콘서트 전국투어 in 대전,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/20240607143347452390e5-de5d-4d1f-9e33-749c54912e56.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406071433273169d8ca-9d33-4f9f-8008-4f9225049b16.jpg/melon/quality/90/optimize,목원대학교?특설무대,,https://ticket.melon.com/performance/index.htm?prodId=209708,2024.07.13,2024.07.13,2024-07-13
55,EARS－UP Vol．37 _ ‘버텨내고 존재하기’ B－side，불나방스타쏘세지클럽，최고은,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/2024061409021180fe318e-3ff9-45bf-a88c-52a263d0eeab.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/2024061409024816660439-2206-4140-9fb4-bcee6f148445.jpg/melon/quality/90/optimize,고라니특공대,,https://ticket.melon.com/performance/index.htm?prodId=210005,2024.07.13,2024.07.13,2024-07-13
56,민영기ｘ김소향 Greatest Voice with Piano,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406051608523ed1139b-799c-47ba-a0b1-919d84236cb5.jpg/melon/resize/180x254/strip/true/quality/90/optimize,https://cdnticket.melon.co.kr/resource/image/upload/product/2024/06/202406071053281942e4e9-34d9-4847-a665-280c4b9d6060.png/melon/quality/90/optimize,톳반홀,,https://ticket.melon.com/performance/index.htm?prodId=209821,2024.08.17,2024.08.17,2024-08-17
